region,year,site-name,permit,status,latitude,longitude,operator,activities,accepts,tonnes-input,tonnes-treated-recovered,tonnes-output
Angus,2019,"Angus Auto Spares, Riverside Road, Montrose",WML/L/1080149,Operational,56.70395895793419,-2.473055953552981,ANGUS AUTO SPARES,Metal recycler,Commercial / Household / Industrial,424,424,566.87
West Lothian,2019,"IMET Alloys (Europe) Limited, Livingston",WML/L/1094959,Operational,55.90934656538657,-3.5118796162433736,IMET ALLOYS (EUROPE) LIMITED,Metal recycler,Industrial,1468.64,1134.24,1143.62
South Ayrshire,2019,"Ayr Recycling Centre TS, Saltpans Road, Ayr",WML/W/0022035,Operational,55.475229669581694,-4.628844266920894,LOWMAC ALLOYS LIMITED,Transfer station,Commercial / Household,22830.14,0,20065.34
West Lothian,2019,IMET Alloys (Europe) Limited,WML/L/1097941,Operational,55.91122843264591,-3.5627078670468646,IMET ALLOYS (EUROPE) LIMITED,Metal recycler,Industrial,494.19,0,620.48
East Ayrshire,2019,"2-6 Old Street, Kilmarnock",WML/L/1106351,Operational,55.5968901366641,-4.495487276377202,KILMARNOCK CAR BREAKERS,Metal recycler,Commercial / Other special,301,219,236.43
Dundee City,2019,"Henderson Kerr Ltd ELV/MR, Paterson St Dundee",WML/E/0000242,Operational,56.47415418609927,-2.9792850128190547,EUROPEAN METAL RECYCLING LIMITED,Metal recycler,Commercial / Household / Industrial,11260.58,6454.73,10958.22
Aberdeenshire,2019,Direct Waste Management Ltd Damhead Peterhead,PPC/A/1016995,Operational,57.49123824624143,-1.8025503605996778,DIRECT WASTE MANAGEMENT LTD,Other treatment / Transfer station,Industrial / Other special,2338,2337,2546
East Lothian,2019,"Macmerry Depot, Macmerry Ind Est,East Lothian",WML/E/0120039,Operational,55.945020519632465,-2.887471283812249,EAST LOTHIAN COUNCIL,Transfer station,Other special,1050,1050,630
Aberdeen City,2019,Scotoil Waste Transfer Facility,WML/L/1117082,Operational,57.14815686490905,-2.081305271394105,SCOTOIL SERVICES LIMITED,Transfer station,Industrial / Other special,1246.01,488,735.14
Glasgow City,2019,"247 Shettleston Road, Glasgow",WML/W/0000219,Operational,55.85457523278973,-4.192215768277238,DALTON GROUP LIMITED,Metal recycler,Industrial / Other special,18678.61,18488.06,18807.56
Dumfries and Galloway,2019,"Lincluden Depot, College Road, Lincluden, Dum",WML/W/0220155,Operational,55.085639233413744,-3.6244433045943634,SCOTTISH WATER,Transfer station,Commercial / Industrial,1.49,0,0
Aberdeen City,2019,"NOV ED, Aberdeen",PPC/A/1000166,Operational,57.13954068011451,-2.0819804288679733,NOV ED (DIVISION OF VARCO),Other treatment,Industrial / Other special,18727,18308,19345.72
East Lothian,2019,West Fortune Transfer Station & Landfill,PPC/A/1003207,Operational,56.010762770185316,-2.7523927555715217,DREM LANDFILL LIMITED,Landfill / Transfer station,Industrial / Inert,1617,0,1617
Glasgow City,2019,"Alexander Scott Oils Ltd., 2236 London Road",WML/L/1103678,Operational,55.8366390154391,-4.153798719512572,ALEXANDER SCOTT OILS LIMITED,Transfer station,Commercial / Other special,1505.74,0,1276.72
Falkirk,2019,"Avondale Non-Hazardous Landfill, Polmont",PPC/E/0020059,Operational,55.99031578049025,-3.6775089466945636,AVONDALE ENVIRONMENTAL LIMITED,Landfill / Other treatment,Commercial / Household / Industrial / Inert / Special asbestos,422495.2,3772.74,56791.64
Perth and Kinross,2019,"David Band Metals Ltd ELV/MR,Shore Road,Perth",WML/E/0000312,Operational,56.381796421771995,-3.428515664021179,DAVID BAND (METALS) LIMITED,Metal recycler,Commercial,1551,0,1873
Glasgow City,2019,"C & R Jamieson, 15 Forrest Street, Glasgow",WML/L/1035636,Operational,55.85257615787646,-4.217493937402239,CRAIG & ROSS JAMIESON,Metal recycler,Commercial,99,99,102.06
East Lothian,2019,Charles River Laboratoratories Edinburgh Ltd,PPC/A/1003159,Operational,55.92932206982497,-2.9523891182489455,CHARLES RIVER PRECLINICAL SERVICES EUROPE,Incineration,Industrial,476.96,0,0
Angus,2019,"Rix Shipping Scotland Ltd, Dundee",WML/L/1153524,Operational,56.70534780235444,-2.4645141415799836,RIX SHIPPING (SCOTLAND) LIMITED,Transfer station,Industrial,41670.69,0,37053.72
Argyll and Bute,2019,"Larkhall Landfill Site, Isle of Bute",WML/W/0020041,Operational,55.83929606177501,-5.071991466947861,SHANKS ARGYLL & BUTE LIMITED,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial / Inert,4214.27,0,4227.52
Angus,2019,"Angus Council, Montrose Recycling Centre",WML/E/0020032,Operational,56.72281290876094,-2.4576043281401367,ANGUS COUNCIL,Civic amenity,Commercial / Household / Industrial,3605.52,0,3605.52
Scottish Borders,2019,"Easter Langlee Landfill Site, Galashiels",PPC/A/1000112,Operational,55.620428318947134,-2.764892780862954,SCOTTISH BORDERS COUNCIL,Landfill,Commercial / Household / Industrial / Inert,60291.02,645,10540.55
Perth and Kinross,2019,"Autoparts Blairgowrie, Essendy Road",WML/L/1093255,Operational,56.582859252236425,-3.348193564978103,AUTOPARTS BLAIRGOWRIE,Metal recycler,Other special,98,98,161.5
Aberdeenshire,2019,Wm Nicol (Aberdeen) Limited,PPC/A/1016789,Operational,57.07206760380843,-2.1589621801432806,WILLIAM NICOL (ABERDEEN) LIMITED,Other treatment / Transfer station,Industrial / Other special,14270.22,13210.92,6592.79
South Lanarkshire,2019,"W Hamilton & Sons, Dovesdale Farm LF,Stonehse",PPC/A/1010943,Operational,55.696019923830164,-3.946871225563276,WILLIAM HAMILTON & SONS (CONTRACTORS) LTD,Composting / Landfill,Commercial / Industrial / Inert,65054,15188,15
Argyll and Bute,2019,"Bowmore WWTW, Bowmore, Isle of Islay",WML/L/1078194,Operational,55.75133226360121,-6.290398754863156,SCOTTISH WATER,Other treatment,Industrial,0,8,0
North Lanarkshire,2019,"Forrestburn Holdings, Forrestburn, Harthill",WML/L/1149496,Operational,55.86678694999699,-3.796481317641719,ALEXANDER BAXTER,Pet crematoria,Household,6.93,0,0.18
West Dunbartonshire,2019,"Campbell Commercials, Vale of Leven Ind Est",WML/L/1025318,Operational,55.96868102771633,-4.573377792424514,ROBERT CAMPBELL (COMMERCIALS) LTD,Metal recycler,Commercial,198.4,276.9,386.19
Perth and Kinross,2019,"Binn Farm, (DMR) Glenfarg, Perth",WML/L/1106191,Operational,56.30596971594919,-3.3367595106750603,SUEZ RECYCLING & RECOVERY UK LTD,Transfer station,Household,4009.66,4009.66,4168.65
Aberdeen City,2019,"Old Coast Road, Aberdeen adj to Ness Landfil",WML/L/1024801,Operational,57.12515393895685,-2.0548746941483844,ABERDEEN CITY COUNCIL,Other treatment,Household / Industrial,333.62,116.4,324.2
Outer Hebrides,2019,"Garrygall Recycling Centre, Isle of Barra",WML/L/1098203,Operational,56.95694142008727,-7.470212908014126,COMHAIRLE NAN EILEAN SIAR,Civic amenity / Composting,Commercial / Household,251.58,0,251.58
South Ayrshire,2019,"Seton Street Civic Amenity Site, Maybole",WML/W/0020065,Operational,55.35201562332063,-4.6796185209514904,SOUTH AYRSHIRE COUNCIL,Civic amenity,Household,1036.96,0,1036.96
Aberdeenshire,2019,"Sharpewood,Kinnoir,Huntly",WML/N/0020101,Operational,57.47228703085938,-2.7401567668989646,SHARPEWOOD SPARES,Metal recycler,Commercial / Household / Industrial,49.02,1.77,374.22
Falkirk,2019,"Recycling Lives, Castle Drive, Falkirk",WML/L/1170598,Operational,56.01396788513237,-3.7739958194258065,RECYCLING LIVES SCOTLAND LIMITED,Metal recycler,Commercial,12417.6,12417.6,12640.76
West Lothian,2019,"Burngrange Farm, West Calder",WML/E/0020016,Operational,55.845916838059324,-3.578344556000237,PRIVATE CONTACT,Metal recycler,Industrial,8013,0,8956.92
West Lothian,2019,"Copart UK Limited, Redmill Ind Est, Whitburn",WML/L/1142126,Operational,55.866382937484836,-3.648108030738788,COPART UK LIMITED,Metal recycler,Industrial,0,0,8085.2
Falkirk,2019,"Unit 5, Castle Pl, Bankside Ind Est, Falkirk",WML/L/1140129,Operational,56.01330949059788,-3.7691524800944998,CENTRAL PET CREMATIONS LTD,Pet crematoria,Household,58.15,0,1.74
North Ayrshire,2019,"CCL (North) ELV,Dunlop Dr,Meadowhead,Irvine",WML/W/0022012,Operational,55.586224016175585,-4.644865248882807,CCL (NORTH) LTD,Other treatment,Commercial / Household / Other special,3085.24,46.95,2672.52
Highland,2019,"Scottish Water TS, Dornoch Water Depot",WML/N/0050363,Operational,57.87768187580538,-4.026020370090199,SCOTTISH WATER,Transfer station,Industrial / Special asbestos,0.36,0,59.86
South Ayrshire,2019,"Straid Farm Landfill Site, Lendalfoot, Girvan",PPC/A/1000116,Operational,55.170026631572355,-4.9246893217649195,STRAID FARM LTD,Landfill,Commercial / Household / Industrial / Inert / Special asbestos,65034.56,0,0
North Lanarkshire,2019,"Shotts Civic Amenity Site, Shotts",WML/L/1099403,Operational,55.817861944723745,-3.795008142940229,NORTH LANARKSHIRE COUNCIL,Civic amenity,Household,1587.67,0,1587.67
Perth and Kinross,2019,"JR Jenkins ELV/MR,Applegrove,Madderty, Crieff",WML/E/0000314,Operational,56.36063595158811,-3.7114178803566693,J R JENKINS,Metal recycler,Industrial,23.99,23.99,113408.15
North Ayrshire,2019,"Filtec, Portland Road, Irvine",WML/W/0220265,Operational,55.604438796220606,-4.673801989727481,FILTEC WASTE SOLUTIONS LTD,Transfer station,Commercial / Household / Industrial,5819.6,785,5045.1
West Lothian,2019,"Castlebrae Drainage Services, Broxburn",WML/L/1102746,Operational,55.940814525184784,-3.450974964770269,CASTLEBRAE DRAINAGE SERVICES LTD,Transfer station,Commercial,54,0,54
Fife,2019,"Fife Council, Lochhead L/F, By Wellwood, Fife",PPC/E/0020083,Operational,56.0965914130628,-3.4752694592582145,FIFE COUNCIL,Anaerobic digestion / Civic amenity / Composting / Landfill / Other treatment,Commercial / Household / Industrial / Inert / Special asbestos,180138.92,53917.2,97104.8
Glasgow City,2019,"Barclay Curle Complex,739 South St,Whiteinch",WML/L/1018833,Operational,55.87324727781702,-4.341347343010386,EMR LTD,Metal recycler,Industrial,119452.76,49004.59,111103.03
North Lanarkshire,2019,Deerdykes Composting & Organics Recycling Fac,PPC/A/1017756,Operational,55.925082551813105,-4.056056460269343,SCOTTISH WATER,Anaerobic digestion / Composting,Commercial / Household / Industrial,28389.23,28389.23,9946.5
Outer Hebrides,2019,"Highland Metal Recycling,Marko's Yard,Bennadr",WML/N/0220091,Operational,58.21977918095979,-6.441666679426227,HIGHLAND METAL RECYCLING,Metal recycler,Industrial / Other special,0,0,28
North Ayrshire,2019,"Composting Facility, Ardeer Site, Stevenston",WML/W/0022029,Operational,55.63302876950425,-4.732419626758145,NPL ESTATES LTD,Composting / Transfer station,Commercial / Household / Industrial,848.98,848.98,0
Dundee City,2019,"NHS Tayside, Ninewells T/S, Dundee",WML/E/0000240,Operational,56.46252728543434,-3.032466265423521,TAYSIDE UNIV HOSPITALS NHS TRUST,Transfer station,Industrial / Other special,1162.5,0,1164.3
Glasgow City,2019,"Gen Autos, 44 Dawson Place, Glasgow",WML/L/1092549,Operational,55.87706338312809,-4.25542554208384,GEN AUTOS,Metal recycler,Industrial,78.01,508.35,81.77
Clackmannanshire,2019," Black Devon Landfill Site, Alloa",WML/E/0020023,Operational,56.10022476351708,-3.7773340937558286,CLACKMANNANSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,1246,0,60744.9
Renfrewshire,2019,"31 Abercorn Street, Paisley",WML/W/0000081,Operational,55.85211483167424,-4.420293647494908,S BRANDY LTD,Transfer station,Commercial / Household / Industrial,2735,2735,2735
Renfrewshire,2019,"Paisley Car Breakers, Paisley",WML/W/0000093,Operational,55.85190577493886,-4.435892849541351,PAISLEY CAR BREAKERS,Metal recycler,Commercial / Household / Industrial,194.94,194.94,446.51
Fife,2019,"Powar Developments Ltd, Glenrothes",WML/E/0020135,Operational,56.18147566859731,-3.203560687674272,POWAR DEVELOPMENTS LTD,Transfer station,Commercial,0,0,3401
Aberdeenshire,2019,"Ley Farm Composting Facility, Fordyce",PPC/A/1030633,Operational,57.660416286443315,-2.7806084284703614,GRAY COMPOSTING SERVICE LIMITED,Composting,Commercial / Household / Industrial,7099.55,6894.69,0
East Renfrewshire,2019,"Barrhead Site, Crossmill, Barrhead",WML/L/1029569,Operational,55.81051679892944,-4.377771805783261,BRIDGEND HIRE LIMITED,Transfer station,Commercial,12271,12285,2840
Aberdeenshire,2019,"Easter Hatton Environment, Balmedie, Aberdeen",PPC/N/0020026,Operational,57.233574149282916,-2.052981302117932,EASTER HATTON ENVIRONMENTAL (WASTE AWAY) LTD,Landfill,Commercial / Household / Industrial / Special asbestos,93258.35,0,21923.16
Highland,2019,"HC Alness RC,CAS, UNITS 5A & 7, Alness",WML/N/0050075,Operational,57.69482778968332,-4.261873928076643,THE HIGHLAND COUNCIL,Civic amenity,Commercial / Household,2266.06,0,2266.06
Aberdeen City,2019,"Mearns Quay Storage Facilty, Aberdeen",PPC/A/1098369,Operational,57.14108762180379,-2.0793727923156076,TAYLORS INDUSTRIAL SERVICES LIMITED,Other treatment,Industrial / Other special,18658.54,0,18658.54
South Ayrshire,2019,Girvan Civic Amenity Site,WML/W/0020150,Operational,55.24545838358982,-4.854217364238251,SOUTH AYRSHIRE COUNCIL,Civic amenity,Household,1662.15,0,1662.15
Argyll and Bute,2019,"Blackhill CA Site, Helensburgh",WML/W/0022019,Operational,56.01911135609071,-4.711711244962331,ARGYLL & BUTE COUNCIL,Civic amenity,Commercial / Household / Industrial / Other special,10313.67,0,10310.22
Fife,2019,"Scrap a Car Scotland, Strathore Road,Thornton",WML/L/1137662,Operational,56.16309907793699,-3.161258762219342,LINDSAY CRAFT,Metal recycler,Industrial / Other special,20541.4,20541.4,20450.46
West Lothian,2019,"Torphin Quarry, Harburn, West Calder",PPC/A/1008897,Operational,55.822222059511056,-3.549000143391896,LEVENSEAT LTD,Landfill / Other treatment,Industrial / Inert,14544,0,0
Aberdeen City,2019,"ASCO UK Ltd,  Albert Quay, Aberdeen",PPC/A/1107786,Operational,57.14127374869585,-2.0832897952464786,ASCO UK LIMITED,Other treatment,Industrial / Other special,9122.13,0,8446.13
City of Edinburgh,2019,"Unit 7 Bankhead Ind Est, Sighthill, Edinburgh",WML/E/0220300,Operational,55.92707346974358,-3.294536748398883,RENTOKIL INITIAL SERVICES,Transfer station,Commercial / Industrial / Other special,296.73,0,296.73
Perth and Kinross,2019,Scottish Water - Perth Area Office/Depot TS,WML/E/0120008,Operational,56.409953328253174,-3.446866016181848,SCOTTISH WATER,Transfer station,Special asbestos,0.78,0,0
West Lothian,2019,"Addiewell Bing, West Calder",WML/E/0020176,Operational,55.84830650787322,-3.594448582616073,WEST LOTHIAN RECYCLING LTD,Civic amenity / Composting,Commercial / Household / Industrial,400,0,400
Midlothian,2019,"Viridor, Edinburgh Transfer Station",WML/L/1099347,Operational,55.86113803847339,-3.0874059652104333,VIRIDOR WASTE MANAGEMENT LTD,Other treatment / Transfer station,Commercial / Household,31417,18383.94,31481.42
Aberdeen City,2019,"John Lawrie Metals) Ltd, East Tullos, Aberdee",WML/N/0020154,Operational,57.12700083175123,-2.078913148844314,JOHN LAWRIE METALS LIMITED,Transfer station,Commercial / Household / Industrial,69546.83,69054.4,78783.18
City of Edinburgh,2019,"Braehead Quarry, Craigs Road, Edinburgh",WML/E/0220228,Operational,55.9506935832896,-3.323850480859966,FORTH RESOURCE MANAGEMENT LIMITED,Composting,Commercial / Household,24612.76,12993.33,12777.53
Aberdeen City,2019,"ASCO UK Limited, Hillview WTS, Tullos",PPC/A/1016775,Operational,57.12460650301742,-2.085845756713654,ASCO UK LIMITED,Other treatment / Transfer station,Commercial / Household / Industrial / Other special,0,0,284.2
Fife,2019,"COPART UK, Belleknowes Ind Est",WML/L/1039077,Operational,56.03965177491931,-3.3996337855833287,USERVE LIMITED,Metal recycler,Commercial / Household / Industrial,7681.57,8321.56,11760
North Lanarkshire,2019,"Dalton Demolitions MR, Atlas Works, Airdrie",WML/W/0000176,Operational,55.86552067528318,-3.9618010379129602,DALTONS DEMOLITIONS LTD,Metal recycler,Commercial / Household / Industrial / Special asbestos,7954.16,7954.16,7516.72
Aberdeenshire,2019,"Wester Hatton L/F Site, Balmedie, Aberdeen",PPC/N/0020001,Operational,57.229070331021205,-2.0760333190683093,WRG WASTE SERVICES LIMITED,Landfill (not operational),Commercial / Household / Industrial,0,0,3449.9
Midlothian,2019,"Lothian Auto Salvage, Engine Road, Loanhead",WML/E/0000096,Operational,55.879158790199426,-3.1445986576802536,LOTHIAN AUTO SALVAGE,Metal recycler / Transfer station,Commercial / Household / Industrial / Other special,112.5,115.5,466.88
Dumfries and Galloway,2019,"Shawhill Station Yard, Scotts Street, Annan",WML/L/1041678,Operational,54.985930640946684,-3.249378794586176,JOHN WALKER & SON,Metal recycler,Commercial / Household / Industrial,3309.3,3309.3,3658.84
Midlothian,2019,"RM Scally, 13 Robertson Bank, Gorebridge",WML/E/0000089,Operational,55.838573757475466,-3.042651018468722,RONALD M SCALLY,Metal recycler,Commercial / Household / Industrial,20.5,0,50.8
Falkirk,2019,"David Morton(Larbert)Ltd, Glen Works, Falkirk",WML/E/0000029,Operational,55.982330551491124,-3.7834639746472285,DAVID MORTON (LARBERT) LIMITED,Metal recycler,Commercial / Industrial,310,290,275
Scottish Borders,2019,"Site 3, Charlesfield Ind Est, St Boswells",WML/E/0220045,Operational,55.558968374417944,-2.6530882019145263,D A AUTOPARTS LTD,Metal recycler,Commercial / Household / Industrial,345.2,345.2,0
Glasgow City,2019,"Waste Handling Area, 350 Darnick Street",WML/L/1032862,Operational,55.8776392982862,-4.211311946789483,CITY BUILDING (GLASGOW) LLP,Transfer station,Commercial / Household / Industrial,4853.9,4853.9,4853.92
Aberdeenshire,2019,"Stoneyhill Environ Pk, Peterhead, Aberdeen",PPC/N/0020010,Operational,57.45911420151017,-1.8736497904286773,STONEYHILL WASTE MANAGEMENT LTD,Landfill,Commercial / Household / Industrial / Special asbestos,251817.99,12200,30992.08
East Renfrewshire,2019,"Greenhags, Ayr Road, Newton Mearns, Glasgow",WML/L/1087983,Operational,55.74686544695096,-4.36664608705237,LOWMAC ALLOYS LIMITED,Transfer station,Commercial / Household / Industrial / Other special,28049.62,0,32479.43
Fife,2019,"Old Brickfield, Auchterderran Rd, Lochgelly",WML/L/1022997,Operational,56.13379920025825,-3.300637767638819,SARVAL (HARTSHILL) LIMITED,Transfer station,Commercial,4108.99,0,4108.99
South Lanarkshire,2019,"Tri Traders, Lowland Works, Blantyre Ferme Rd",WML/W/0000134,Operational,55.82250631741504,-4.096767813781073,TRI TRADERS,Metal recycler,Commercial / Household / Industrial,1672.06,0,1564.96
Fife,2019,"Cartmore Industrial Estate, Lochgelly",WML/L/1115914,Operational,56.13925965102914,-3.312845086974358,OWEN BUCHANAN BUILDERS LIMITED,Transfer station,Commercial,6109.29,0,6207.87
Renfrewshire,2019,"M8 Recovery Ltd, 100 Penilee Rd, Hillington",WML/L/1090567,Operational,55.86081721979578,-4.381084535490496,M8 RECOVERY LTD,Metal recycler,Other special,0,0,13.92
Outer Hebrides,2019,"Old Burgh Tip LFS, Marybank, Isle of Lewis",WML/N/0050105,Operational,58.211171661457165,-6.42199641446023,WESTERN ISLES COUNCIL,Landfill (not operational) / Transfer station,Commercial / Household / Industrial,285,285,0
Aberdeenshire,2019,"Direct Waste Management Ltd TS, Dales Ind Est",PPC/A/1016914,Operational,57.49187490347814,-1.8076021316946747,DIRECT WASTE MANAGEMENT LTD,Other treatment / Transfer station,Industrial / Other special,6457,6457,6396
South Lanarkshire,2019,"Birnam Motor Slvg, Blantyre Farm Rd, Uddingto",WML/W/0220075,Operational,55.82161457565458,-4.098987002422417,BIRNAM MOTOR SALVAGE LTD,Metal recycler,Commercial,1469,1470.23,1574.14
North Ayrshire,2019,"Dereneneach, String Road, Arran",WML/W/0220212,Operational,55.55230314287556,-5.280092207984963,JOHN THOMSON CONSTRUCTION LTD,Transfer station,Industrial,438.8,323.6,115.2
West Lothian,2019,"Livingston Granulation Plant, Livingston",WML/L/1164191,Operational,55.90173813418818,-3.579603129579191,VEOLIA ES (UK) LIMITED,Other treatment,Commercial,0,0,22.58
Falkirk,2019,"Allparts Vehicle Dismantlers, Hillview Road",WML/E/0020151,Operational,55.991251269431636,-3.8733975959453395,ANGUS BRAIDWOOD & SON LIMITED,Metal recycler,Commercial / Household / Industrial,111,0,0
West Dunbartonshire,2019,"Forge Metal Recycling, Dalreoch Yard, Dumbart",WML/W/0220093,Operational,55.94888550910202,-4.57602094260844,DOHERTY & LAFFERTY LTD,Metal recycler,Commercial,661.7,147.22,769.26
Clackmannanshire,2019,"Walsh Bros Ind Serv TS,15 -17 Castle St,Alloa",PPC/A/1017492,Operational,56.11140138957617,-3.795590754820423,WALSH BROTHERS INDUSTRIAL SERVICES LTD,Other treatment / Transfer station,Commercial / Industrial / Other special,2008.39,1968.89,137.34
Highland,2019,"Wick Blast Ltd, Wick Ind Est, Wick, Caithness",WML/N/0220210,Operational,58.45172519960168,-3.088668215522558,WICK BLAST LTD,Transfer station,Special asbestos,5.25,0,0
Angus,2019,Hatton Mill Landfil site,PPC/A/1009964,Operational,56.63901908998932,-2.6269526452508556,D GEDDES (CONTRACTORS) LTD,Landfill,Inert,12315,0,0
East Renfrewshire,2019,"A1 Uplifts, 99 Blackbyres Road, Barrhead",WML/L/1089372,Operational,55.81111866197281,-4.384289414073187,GARRI BANKS,Metal recycler,Commercial,550,550,560.7
Orkney Islands,2019,"Sanday Drying Beds, Sanday, Orkney",WML/L/1018877,Operational,59.23858616822937,-2.60974667523007,SCOTTISH WATER,Other treatment / Transfer station,Industrial,207.4,207.4,68.4
Outer Hebrides,2019,"Rueval L/F Site, Market Stance, Benbecula",WML/N/0050029,Operational,57.45957465561563,-7.318998945838463,WESTERN ISLES COUNCIL,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household,1378.08,193.26,1691.76
Angus,2019,"Angus Council, Cairnie Loan R/C, Arbroath",WML/E/0020028,Operational,56.5674443170516,-2.5958057567640505,ANGUS COUNCIL,Civic amenity,Commercial / Household / Industrial / Other special,8629.06,0,8629.06
Aberdeen City,2019,"Panda Rosa Metals, Harehill, Murcar, Aberdeen",WML/N/0020175,Operational,57.212610375181555,-2.078151963662404,PANDA ROSA METALS,Metal recycler,Commercial / Household,38945.9,0,39562.4
Fife,2019,"3/4Cable Road, Viewfield Ind Est, Glenrothes",WML/E/0220061,Operational,56.1818723679557,-3.179178729983717,ALAN JOHN PATTIE,Metal recycler,Commercial,4.5,4.5,2.5
Perth and Kinross,2019,Pitlochry Civic Amenity & Recycling Centre,WML/L/1063124,Operational,56.69804422894038,-3.7231912477206937,PERTH & KINROSS COUNCIL,Civic amenity,Commercial / Household / Industrial / Inert / Other special,1611.4,0,1611.4
Stirling,2019,Balfron Civic Amenity Site,WML/W/0020089,Operational,56.069992077603416,-4.336473384077639,STIRLING COUNCIL,Civic amenity,Household,921.43,0,921.43
Fife,2019,"Cromarty Campus, Rosyth, Fife",WML/L/1113364,Operational,56.02522832849411,-3.4409804952571665,THOMAS MUIR (ROSYTH) LTD,Metal recycler,Industrial,5367,5367,6260
Angus,2019,"Petterden Wood Processing Facility, Dundee",WML/L/1157026,Operational,56.54673798291448,-2.9339033587091174,NWH WASTE SERVICES LIMITED,Transfer station,Commercial / Household / Industrial,33755.65,33755.65,38566.08
Angus,2019,"Gagie Home Farm, Duntrune, by Dundee",WML/L/1032677,Operational,56.52726850003272,-2.8982900714109747,PYOT SKIP HIRE,Transfer station,Commercial / Household / Inert,1990.5,0,1990.5
Fife,2019,"Grant House, Fulmar Way",WML/L/1023905,Operational,56.041185497218756,-3.3556363595564203,GRANT CONSTRUCTION SERVICES (FIFE) LTD,Other treatment,Industrial,1737.09,1737.09,138
North Lanarkshire,2019,"Bargeddie MRF,Langmuir Way,Glasgow",WML/L/1028820,Operational,55.85366282613846,-4.0657526816177105,VIRIDOR ENVIROSCOT LIMITED,Other treatment / Transfer station,Commercial / Household,10930.6,10930.6,11089.14
West Dunbartonshire,2019,"Woodyard Recovery ELV Site, Gartocharn",WML/W/0220058,Operational,56.03040873596023,-4.550048996099257,WOODYARD RECOVERY LTD,Metal recycler,Commercial,109.61,0,96.05
Highland,2019,"Highland Clearance, Metal RC , Muir of Ord",WML/N/0050063,Operational,57.50251913317482,-4.4508796579700025,HIGHLAND CLEARANCE LIMITED,Metal recycler,Commercial / Household / Industrial / Other special,3093.5,0,3336.74
East Ayrshire,2019,"Wyndford Garage, Knockentiber, Kilmarnock",WML/W/0220102,Operational,55.62512419574091,-4.542386930110311,BARRY DEVLIN,Metal recycler,Commercial / Other special,796,796,871.56
Angus,2019,"Angus Council, Bellies Brae CA, Kirriemuir",WML/E/0020042,Operational,56.67124122717701,-3.0029154919319074,ANGUS COUNCIL,Civic amenity,Commercial / Household / Industrial,528.14,0,528.14
Aberdeenshire,2019,"Jack Douglas Truck Salvage, Hill of Cottown,",WML/L/1055251,Operational,57.2260306938756,-2.394381291776072,JACK DOUGLAS TRUCK SALVAGE,Metal recycler,Commercial,114,114,86.74
Aberdeenshire,2019,"J M & G Griese, Mossbank ELV, Fettercairn",WML/E/0000206,Operational,56.82975485336585,-2.5814778892812273,"JOZEF, MARY & GRAEME GRIESE",Metal recycler,Commercial / Household,77,77,873.89
Aberdeenshire,2019,Portlethen Household Recycling Centre,WML/L/1148211,Operational,57.07248360148189,-2.149446236264823,ABERDEENSHIRE COUNCIL,Civic amenity,Household,2190.75,0,2190.75
Dundee City,2019,"Kelbie's ELV, 148 Liff Road, Lochee",WML/E/0220186,Operational,56.47637026051132,-3.0231649389663144,PRIVATE CONTACT,Metal recycler,Household,301.19,0,301.19
North Lanarkshire,2019,"Bredisholm Refinery, Tannochside, Uddingston",PPC/A/1016835,Operational,55.83855387915708,-4.070557685948839,MULBERRY WASTE (SCOTLAND) LTD,Other treatment,Commercial / Industrial / Other special,8118.19,0,7591.44
Highland,2019,BEAULY SUBSTATION WESTER BALBLAIR BEAULY,WML/L/1133968,Operational,57.46887698443517,-4.490492494640279,SSE POWER DISTRIBUTION LTD,Transfer station,Other special,10.75,0,17.73
Highland,2019,"Inverness WWTP, Allanfearn, Inverness",WML/N/0050074,Operational,57.49911416228546,-4.149763542600723,VEOLIA WATER OPERATIONAL SERVICES (HIGHLAND) LIMITED,Other treatment / Transfer station,Commercial / Household / Industrial,40068,40068,4773
North Lanarkshire,2019,"N Lanark Cncl,Netherdale Rd CA, Wishaw",WML/W/0220271,Operational,55.771010532330465,-3.9421098920772217,NORTH LANARKSHIRE COUNCIL,Civic amenity,Commercial / Household / Industrial / Other special,6977.31,0,6977.31
City of Edinburgh,2019,"Changeworks Recycling, 36-40 Newhaven Road",WML/L/1166836,Operational,55.970414775557806,-3.184772838457716,CHANGEWORKS RECYCLING LIMITED,Transfer station,Commercial / Household,5762.51,0,5762.51
Aberdeenshire,2019,"Savoch  Quarry Landfill Site, Peterhead",PPC/A/1003256,Operational,57.47346457893072,-1.886807212662739,SAVOCH QUARRY & RECYCLING LIMITED,Landfill,Commercial / Household / Industrial / Special asbestos,1014.4,0,0
Inverclyde,2019,Inverclyde Council MRF,WML/L/1169245,Operational,55.94027400380938,-4.748162730462292,INVERCLYDE COUNCIL,Transfer station,Household,5312.4,0,5287.56
Highland,2019,"Skitten Quarry, Skitten, Wick",PPC/A/1024099,Operational,58.49756331533722,-3.162620403806265,JOHN GUNN & SONS LTD,Landfill,Inert,571.87,465.89,0
